A01 111 0     100       00給水圧                                  kPa                 
A01 121 0     100       00送液圧                                  kPa                 
A01 131 0     100       00給湯圧                                  kPa                 
A01 141 1    40.0     3.00給水流量(FM1)                           L/min               
A01 151 1    40.0     3.00給水流量(FM2)                           L/min               
A01 160 0       0       00予備                                                        
A01 170 0       0       00予備                                                        
A01 180 0       0       00予備                                                        
A01 190 0       0       00予備                                                        
A01 200 0       0       00予備                                                        
A01 211 2    8.00    1.000Ｂ液濃度警報点（上限）                  mS/cm               
A01 221 2    8.00    1.000Ｂ液濃度警報点（下限）                  mS/cm               
A01 231 1    20.0    10.00透析液濃度警報点（上限）                mS/cm               
A01 241 1    20.0    10.00透析液濃度警報点（下限）                mS/cm               
A01 251 1    20.0    10.00貯槽濃度警報点（上限）                  mS/cm               
A01 261 1    20.0    10.00貯槽濃度警報点（下限）                  mS/cm               
A01 271 0     200       00貯槽Ｎａ濃度警報点（上限）              mEq/L               
A01 281 0     200       00貯槽Ｎａ濃度警報点（下限）              mEq/L               
A01 291 1    99.9    10.00透析液温度警報点（上限）                ℃                  
A01 301 1    99.9    10.00透析液温度警報点（下限）                ℃                  
A01 311 0      50     -300給水圧警報点（下限）                    kPa                 
A01 321 0      50       00送液圧警報点（下限）                    kPa                 
A01 331 0      50       00給湯圧警報点（下限）                    kPa                 
A01 340 0       0       00予備                                                        
A01 350 0       0       00予備                                                        
A01 360 0       0       00予備                                                        
A01 370 0       0       00予備                                                        
A01 380 0       0       00予備                                                        
A01 390 0       0       00予備                                                        
A01 400 0       0       00予備                                                        
D01  10 0       7       00工程                                                        
D01  21 1    80.0    30.00B原液濃度                               mS/cm               
D01  31 1   210.0   160.00A原液濃度                               mS/cm               
D01  41 0     100       00給水圧                                  kPa                 
D01  51 1     9.9     0.00薬液検知電圧                            V                   
D01  61 1    99.9    10.00B溶解槽温度                             ℃                  
D01  71 1    99.9    10.00A溶解槽温度                             ℃                  
D01  81 1    99.9     0.00B貯水槽原液残量                         L                   
D01  91 1    99.9     0.00A貯水槽原液残量                         L                   
D01 101 1    80.0    30.00B原液濃度警報点（上限）                 mS/cm               
D01 111 1    80.0    30.00B原液濃度警報点（下限）                 mS/cm               
D01 121 1   210.0   160.00A原液濃度警報点（上限）                 mS/cm               
D01 131 1   210.0   160.00A原液濃度警報点（下限）                 mS/cm               
D01 141 0      50     -300給水圧警報点（下限）                    kPa                 
D01 151 1     1.0     0.00薬液消毒濃度下限報知点                  V                   
D01 161 1     1.0     0.00薬液消毒漏れ警報点                      V                   
D01 171 1    99.9     0.00貯水槽原液減少報知点１                  L                   
D01 181 1    99.9     0.00貯水槽原液減少報知点２                  L                   
D01 191 1    99.9     0.00貯水槽原液減少報知点３                  L                   
D01 201 1    99.9    10.00B溶解槽温度警報（上限）                 ℃                  
D01 211 1    99.9    10.00A溶解槽温度警報（上限）                 ℃                  
D01 221 0      99       00溶解ボトル使用数                        セット              
D01 231 0      99       00残り薬剤数                              セット              
D01 243 0    1439       00原液減予想時刻                                              
R01  11 0       5       00運転状態                                                    
R01  21 1   999.9     0.00RO送水量                                L/min               
R01  31 1   999.9     0.00RO戻り水量                              L/min               
R01  41 1   999.9     0.00RO循環水量                              L/min               
R01  51 1   999.9     0.00RO排水量                                L/min               
R01  61 1   999.9     0.00RO排水戻り水量                          L/min               
R01  71 1   999.9     0.00LRO処理水量                             L/min               
R01  81 1   999.9     0.00LRO循環水量                             L/min               
R01  91 1   999.9     0.00LRO排水量                               L/min               
R01 101 1    99.9     0.00原水温度                                ℃                  
R01 111 1    99.9     0.00原水監視温度                            ℃                  
R01 121 1    99.9     0.00カーボン出口温度                        ℃                  
R01 131 1    99.9     0.00LRO膜出口温度                           ℃                  
R01 141 1    99.9     0.00RO膜出口温度                            ℃                  
R01 151 1    99.9     0.00RO水タンク温度                          ℃                  
R01 161 1    99.9     0.00排水温度                                ℃                  
R01 171 1   500.0     0.00原水水質                                μS/cm              
R01 181 1   500.0     0.00LRO水質                                 μS/cm              
R01 191 1    20.0     0.00RO水質                                  μS/cm              
R01 201 1   100.0     0.00原水ポンプインバータ                    ％                  
R01 211 1   100.0     0.00ＬＲＯポンプインバータ                  ％                  
R01 221 1   100.0     0.00ＲＯポンプインバータ                    ％                  
R01 231 1   100.0     0.00送水ポンプ１インバータ                  ％                  
R01 241 1   100.0     0.00送水ポンプ２インバータ                  ％                  
R01 251 2    1.00    0.00010μフィルタ入口圧                      MPa                 
R01 261 2    1.00    0.000カーボンフィルタ入口圧                  MPa                 
R01 271 2    1.00    0.000LROポンプ入口圧                         MPa                 
R01 281 2    2.00    0.000LRO膜入口圧                             MPa                 
R01 291 2    2.00    0.000LRO膜出口圧                             MPa                 
R01 301 2    1.00    0.000ROポンプ入口圧                          MPa                 
R01 311 2    2.00    0.000RO膜入口圧                              MPa                 
R01 321 2    2.00    0.000RO膜出口圧                              MPa                 
R01 331 2    1.00    0.000送水ポンプ1出口圧                       MPa                 
R01 341 2    1.00    0.000送水ポンプ2出口圧                       MPa                 
R01 351 2    1.00    0.000RO処理水圧                              MPa                 
R01 361 1   100.0     0.00RO回収率                                %                   
R01 371 1   100.0     0.00RO送水MV開度                            %                   
R01 381 1   100.0     0.00RO排水MV開度                            %                   
R01 391 1    99.9     0.001系洗浄水量                             L/min               
R01 401 1    99.9     0.002系洗浄水量                             L/min               
